lEntity,Rela,rEntity,type,le,re,rela,cls
aorta,be,tortuous,Aorta_tortuous,336,432,0,0
aorta,be,calcified,Aorta_tortuous,336,494,0,0
aorta,be,ectatic,Aorta_tortuous,336,22,0,0
aorta,be,unfolded,Aorta_tortuous,336,547,0,0
aorta,have,atherosclerotic calcifications,Aorta_tortuous,336,730,1,0
aorta,be,dilated,Aorta_tortuous,336,524,0,0
aorta,be,prominent,Aorta_tortuous,336,637,0,0
aorta,have,aneurysmal enlargement,Aorta_tortuous,336,17,1,0
heart,size,normal,Aorta_tortuous,351,134,2,0
heart,size,enlarged,Aorta_tortuous,351,140,2,0
heart,have,cardiomegaly,Aorta_tortuous,351,590,1,0
heart,size,borderline,Aorta_tortuous,351,698,2,0
heart,have,left ventricular enlargement,Aorta_tortuous,351,277,1,0
lungs,be,clear,Aorta_tortuous,448,658,0,0
lungs,have,emphysematous changes,Aorta_tortuous,448,790,1,0
lungs,have,granulomas,Aorta_tortuous,448,690,1,0
lungs,be,hyperinflated,Aorta_tortuous,448,40,0,0
lungs,have,interstitial markings,Aorta_tortuous,448,526,1,0
lungs,have,chronic changes,Aorta_tortuous,448,509,1,0
lungs,have,COPD changes,Aorta_tortuous,448,814,1,0
pleural effusion,be,absent,Aorta_tortuous,354,10,0,0
pleural effusion,be,present,Aorta_tortuous,354,226,0,0
pneumothorax,be,absent,Aorta_tortuous,160,10,0,0
pulmonary edema,be,absent,Aorta_tortuous,337,10,0,0
pulmonary edema,be,present,Aorta_tortuous,337,226,0,0
thoracic spine,have,degenerative changes,Aorta_tortuous,164,66,1,0
thoracic spine,have,osteophytes,Aorta_tortuous,164,303,1,0
thoracic spine,have,spondylosis,Aorta_tortuous,164,348,1,0
ribs,have,fractures,Aorta_tortuous,251,156,1,0
mediastinum,be,normal,Aorta_tortuous,469,134,0,0
mediastinum,be,widened,Aorta_tortuous,469,359,0,0
pulmonary vasculature,be,normal,Aorta_tortuous,80,134,0,0
pulmonary vasculature,be,engorged,Aorta_tortuous,80,372,0,0
diaphragm,be,elevated,Aorta_tortuous,471,118,0,0
diaphragm,be,flattened,Aorta_tortuous,471,232,0,0
hiatal hernia,be,present,Aorta_tortuous,433,226,0,0
sternotomy wires,be,present,Aorta_tortuous,684,226,0,0
pacemaker,be,present,Aorta_tortuous,680,226,0,0
ICD leads,be,present,Aorta_tortuous,234,226,0,0
airspace consolidation,be,absent,Aorta_tortuous,2,10,0,0
airspace consolidation,be,present,Aorta_tortuous,2,226,0,0
atelectasis,be,present,Aorta_tortuous,54,226,0,0
interstitial markings,be,present,Aorta_tortuous,526,226,0,0
nodules,be,present,Aorta_tortuous,613,226,0,0
calcified lymph nodes,be,present,Aorta_tortuous,29,226,0,0
scoliosis,be,present,Aorta_tortuous,213,226,0,0
kyphosis,be,present,Aorta_tortuous,417,226,0,0
osteopenia,be,present,Aorta_tortuous,773,226,0,0
pleural thickening,be,present,Aorta_tortuous,295,226,0,0
pulmonary hypertension,may be,present,Aorta_tortuous,172,226,3,0
costophrenic angles,be,blunted,Aorta_tortuous,476,713,0,0
lung volumes,be,low,Aorta_tortuous,502,253,0,0
lung volumes,be,normal,Aorta_tortuous,502,134,0,0
trachea,be,midline,Aorta_tortuous,20,380,0,0
surgical clips,be,present,Aorta_tortuous,793,226,0,0
vertebral bodies,have,wedge deformities,Aorta_tortuous,663,194,1,0
clavicle,have,deformity,Aorta_tortuous,360,16,1,0
azygos fissure,be,present,Aorta_tortuous,635,226,0,0
pulmonary nodules,be,present,Aorta_tortuous,235,226,0,0
pleural plaques,be,present,Aorta_tortuous,578,226,0,0
bronchial wall thickening,be,present,Aorta_tortuous,416,226,0,0
pulmonary fibrosis,may be,present,Aorta_tortuous,188,226,3,0
lung scarring,be,present,Aorta_tortuous,584,226,0,0
mediastinal lymphadenopathy,may be,present,Aorta_tortuous,392,226,3,0
aortic aneurysm,may be,present,Aorta_tortuous,424,226,3,0
tracheostomy tube,be,present,Aorta_tortuous,611,226,0,0
mitral annular calcification,be,present,Aorta_tortuous,327,226,0,0
apical scarring,be,present,Aorta_tortuous,162,226,0,0
