lEntity,Rela,rEntity
aorta,is,tortuous
aorta,is,calcified
aorta,is,ectatic
aorta,is,unfolded
aorta,has,atherosclerotic calcifications
aorta,is,dilated
aorta,is,prominent
aorta,has,aneurysmal enlargement
heart,size,normal
heart,size,enlarged
heart,has,cardiomegaly
heart,size,borderline
heart,has,left ventricular enlargement
lungs,are,clear
lungs,have,emphysematous changes
lungs,have,granulomas
lungs,are,hyperinflated
lungs,have,interstitial markings
lungs,have,chronic changes
lungs,have,COPD changes
pleural effusion,is,absent
pleural effusion,is,present
pneumothorax,is,absent
pulmonary edema,is,absent
pulmonary edema,is,present
thoracic spine,has,degenerative changes
thoracic spine,has,osteophytes
thoracic spine,has,spondylosis
ribs,have,fractures
mediastinum,is,normal
mediastinum,is,widened
pulmonary vasculature,is,normal
pulmonary vasculature,is,engorged
diaphragm,is,elevated
diaphragm,is,flattened
hiatal hernia,is,present
sternotomy wires,are,present
pacemaker,is,present
ICD leads,are,present
airspace consolidation,is,absent
airspace consolidation,is,present
atelectasis,is,present
interstitial markings,are,present
nodules,are,present
calcified lymph nodes,are,present
scoliosis,is,present
kyphosis,is,present
osteopenia,is,present
pleural thickening,is,present
pulmonary hypertension,may be,present
costophrenic angles,are,blunted
lung volumes,are,low
lung volumes,are,normal
trachea,is,midline
surgical clips,are,present
CABG,changes are,present
aortic valve replacement,changes are,present
vertebral bodies,have,wedge deformities
clavicle,has,deformity
azygos fissure,is,present
pulmonary nodules,are,present
pleural plaques,are,present
bronchial wall thickening,is,present
pulmonary fibrosis,may be,present
lung scarring,is,present
mediastinal lymphadenopathy,may be,present
aortic aneurysm,may be,present
tracheostomy tube,is,present
mitral annular calcification,is,present
apical scarring,is,present
