1. (Bibasilar airspace disease, associated with, bilateral pleural fluid)
2. (Lung volumes, are, low)
3. (Bibasilar consolidation, present with, bilateral costophrenic XXXX blunting)
4. (Heart size, is, normal)
5. (Pulmonary XXXX, are, normal)
6. (Shunt tubing, traverses, entire image)
7. (Right pleural opacity, compatible with, thickening)
8. (Right pleural opacity, compatible with, loculated effusion)
9. (Right lung base, shows, atelectasis)
10. (Right lung base, shows, airspace disease)
11. (Round opacity, seen adjacent to, right hilum)
12. (Round opacity, represents, discoid atelectasis)
13. (Round opacity, represents, fluid in XXXX fissure)
14. (Left lower lung, shows, scarring)
15. (Left lower lung, shows, chronic inflammatory change)
16. (Mediastinal contour, is, stable)
17. (Aeration of lung bases, shows, interval improvement)
18. (Pleural effusions, show, interval improvement)
19. (Left effusion, is, residual small)
20. (Right pleural effusion, is, questionable small)
21. (Cardiomediastinal silhouette, is, normal)
22. (Lung volumes, show, interval improvement bilaterally)
23. (Right lung base, shows, improved aeration)
24. (Left lung base, shows, improved aeration)
25. (Bilateral pleural effusions, are, small)
26. (Left base, shows, atelectatic change)
27. (Left base atelectatic change, shows, interval improvement)
28. (Bilateral effusions, are, XXXX)
29. (Heart size, is, within normal limits)
30. (Left subclavian central venous catheter, shows, stable position)
31. (Focal airspace disease, is, not present)
32. (Pneumothorax, is, not present)
33. (Costophrenic XXXX, show, mild blunting bilaterally)
34. (Congestive heart failure, associated with, basilar pulmonary interstitial edema)
35. (Congestive heart failure, associated with, bilateral pleural fluid)
36. (Heart, is, large)
37. (Pulmonary XXXX, are, engorged)
38. (Bibasilar interstitial infiltrates, are, present)
39. (Bilateral costophrenic XXXX blunting, is, present)
40. (Cardiomegaly, is, present)
41. (Vascular congestion, is, present)
42. (Interstitial edema, is, probable mild)
43. (Bibasilar airspace disease, is, present)
44. (Bilateral pleural effusions, are, present)
45. (Right pleural effusion, is, greater than left)
46. (Pneumothorax, is, not present)
47. (Acute bony findings, are, not present)
48. (Right pleural fusion, is, loculated)
49. (Right pleural fusion, is, unchanged)
50. (Chronic interstitial lung disease, shows, no change)
51. (Left effusion, is present in, left lateral costophrenic recess)
52. (Left lung base airspace disease, is, minimal residual)
53. (Heart size, is, stable)
54. (Heart, is, moderately enlarged)
55. (Aorta, is, tortuous calcified)
56. (Right lung, is, clear)
57. (Cardiomegaly, is present, without overt heart failure)
58. (Right pleural effusion, is, small)
59. (Right pleural effusion, shows, no change)
60. (Left base airspace disease, shows, clearing)
61. (Right lung airspace disease, shows, improvement)
62. (Central venous line, has been, removed)
63. (Inflammatory defibrillator, is, noted)
64. (Heart, is, enlarged)
65. (Patient, is status post, XXXX sternotomy)
66. (Right pleural effusion, is, present and unchanged)
67. (Pneumothorax, is, not seen)
68. (Left base airspace disease, shows, clearing)
69. (Right lung opacities, may represent, areas of scarring)
70. (Left lung, is, clear)
71. (Cardiomegaly, is, slight)
72. (Right effusion, is, present)
73. (Right lower lobe infiltrate, is, present)
74. (Right hemithorax, shows, two air-fluid levels)
75. (Air-fluid levels, may represent, hydropneumothorax)
76. (Air-fluid levels, may represent, empyema with bronchopleural fistula)
77. (CT scan with IV contrast, may be, helpful)
78. (Left pleural effusion, is, large)
79. (Left lung aeration, is, minimal residual)
80. (Right pleural effusion, is, small)
81. (Right lung, shows, bronchovascular crowding)
82. (Right lung, shows, indistinct vascular margination)
83. (Bronchovascular crowding, may be secondary to, crowding)
84. (Bronchovascular crowding, may be secondary to, infiltrates)
85. (Bronchovascular crowding, may be secondary to, pulmonary edema)
86. (Heart size assessment, is, limited due to obscured heart XXXX)
87. (Left pleural effusion, is present with, adjacent atelectasis)
88. (Right effusion, is, XXXX)
89. (Cardiomegaly, is present, without overt edema)
90. (Cardiac silhouette, is, enlarged but unchanged)
91. (Left-sided XXXX central line, has, XXXX lumen)
92. (Poly vasculature, is, within normal limits)
93. (Mediastinum, is, normal)
94. (Bibasilar opacity, is, appreciated)
95. (Left bibasilar opacity, is, greater than right)
96. (Pneumothorax, is, not present)
97. (Bilateral large pleural effusion, is, possibly from pleuritis)
98. (Bilateral large pleural effusion, is, possibly sympathetic from pancreatitis)
99. (XXXX, are, low)
100. (Both costophrenic XXXX, are, blunted)
101. (Pulmonary XXXX, are, normal)
102. (Visible infiltrates, are not present in, aerated lungs)
103. (Small bilateral pleural effusions, are present with, bibasilar atelectasis)
104. (Small bilateral pleural effusions, are present with, airspace disease)
105. (Left pleural effusion, is, greater than right)
106. (Heart size, is, within normal limits)
107. (Calcified hilar lymph XXXX, are present, bilaterally)
108. (Bibasilar airspace opacities, are present with, small bilateral pleural effusions)
109. (Left pleural effusion, is, greater than right)
110. (Pneumothorax, is, not present)
111. (Acute bony abnormalities, are, not present)
112. (Right mid lung consolidation, shows, improvement)
113. (Right basilar consolidation, shows, improvement)
114. (Right pleural effusion, is, decreasing)
115. (Right middle lobe opacification, shows, significant interval decrease)
116. (Right lower lobe opacification, shows, significant interval decrease)
117. (Right pleural effusion, is, persistent small)
118. (XXXX XXXX atelectasis, is, persistent)
119. (Pneumothorax, is, not present)
120. (Cardiomediastinal silhouette, shows, stable appearance)
121. (Acute bone abnormality, is, not present)
122. (Patchy bibasilar opacities, are, minimal)
123. (Patchy bibasilar opacities, may be, evolving pneumonia)
124. (Patchy bibasilar opacities, may be, atelectasis)
125. (Bilateral pleural effusions, are, XXXX)
126. (Heart, appears, normal)
127. (Pulmonary XXXX, appear, normal)
128. (Pleural spaces, show, minimal blunting)
129. (Pleural spaces blunting, may be due to, XXXX effusions)
130. (Right hemidiaphragm, shows, increased elevation)
131. (Right basilar atelectasis, is, present)
