1. (lungs, are, clear)
2. (heart size, is, normal)
3. (pleural effusion, is, no)
4. (pneumothorax, is, no)
5. (cardiomediastinal silhouette, is, normal)
6. (pulmonary vasculature, is, normal)
7. (focal consolidation, is, no)
8. (thoracic spine, has, degenerative changes)
9. (aorta, has, atherosclerotic changes)
10. (ribs, have, fractures)
11. (mediastinum, is, unremarkable)
12. (lung nodules, are, present)
13. (sternotomy wires, are, present)
14. (hilar contours, are, normal)
15. (trachea, is, midline)
16. (costophrenic angles, are, clear)
17. (diaphragm, is, elevated)
18. (cardiac silhouette, is, normal)
19. (bony structures, are, intact)
20. (lung apices, are, clear)
21. (airspace disease, is, present)
22. (pleural thickening, is, present)
23. (calcified lymph nodes, are, present)
24. (hiatal hernia, is, present)
25. (pacemaker, is, in place)
26. (central venous catheter, is, present)
27. (lung volumes, are, normal)
28. (interstitial markings, are, prominent)
29. (pulmonary edema, is, absent)
30. (emphysematous changes, are, present)
31. (scoliosis, is, present)
32. (kyphosis, is, present)
33. (vertebral bodies, have, compression fractures)
34. (aortic knob, is, calcified)
35. (pulmonary arteries, are, prominent)
36. (breast implants, are, present)
37. (surgical clips, are, present)
38. (granulomas, are, present)
39. (lung bases, are, clear)
40. (mediastinal contours, are, normal)
41. (pulmonary vascularity, is, within normal limits)
42. (osseous structures, are, unremarkable)
43. (soft tissues, are, unremarkable)
44. (cardiothoracic ratio, is, normal)
45. (lung markings, are, normal)
46. (pleural spaces, are, clear)
47. (thoracic aorta, is, tortuous)
48. (cardiac apex, is, normal)
49. (lung fields, are, clear)
50. (rib cage, is, intact)
51. (clavicles, are, intact)
52. (scapulae, are, intact)
53. (lung parenchyma, is, clear)
54. (bronchial tree, is, normal)
55. (pulmonary vessels, are, normal)
56. (heart borders, are, normal)
57. (mediastinal width, is, normal)
58. (lung inflation, is, normal)
59. (diaphragmatic contours, are, normal)
60. (costophrenic sulci, are, clear)
61. (tracheal air column, is, midline)
62. (hilar shadows, are, normal)
63. (lung apices, are, free of infiltrates)
64. (bony thorax, is, intact)
65. (chest wall, is, normal)
66. (cardiophrenic angles, are, clear)
67. (azygoesophageal recess, is, normal)
68. (retrocardiac space, is, clear)
69. (lung periphery, is, clear)
70. (major fissures, are, normal)
71. (minor fissures, are, normal)
72. (pulmonary arteries, are, normal in caliber)
73. (pulmonary veins, are, normal)
74. (bronchial walls, are, normal)
75. (peribronchial cuffing, is, absent)
76. (interstitial lines, are, normal)
77. (pleural reflections, are, normal)
78. (lung apices, are, symmetrical)
79. (lung bases, are, symmetrical)
80. (thoracic cage, is, symmetrical)
81. (mediastinal contour, is, normal)
82. (cardiac size, is, within normal limits)
83. (pulmonary vasculature, is, not congested)
84. (costophrenic angles, are, sharp)
85. (lung volumes, are, preserved)
86. (tracheal air shadow, is, midline)
87. (hilar structures, are, normal)
88. (aortic arch, is, normal)
89. (pulmonary conus, is, normal)
90. (left atrial appendage, is, normal)
91. (right atrial border, is, normal)
92. (left ventricular border, is, normal)
93. (right ventricular border, is, normal)
94. (diaphragmatic contours, are, smooth)
95. (lung fields, are, symmetrical)
96. (bony structures, show, no acute abnormalities)
97. (soft tissues, show, no abnormalities)
98. (cardiomediastinal silhouette, is, within normal limits)
99. (pulmonary vasculature, is, not engorged)
100. (lung parenchyma, shows, no focal opacities)
101. (lung apices, are, free of masses)
102. (lung bases, are, free of infiltrates)
103. (cardiac silhouette, is, not enlarged)
104. (mediastinum, is, not widened)
105. (pulmonary vessels, are, not congested)
106. (costophrenic angles, are, not blunted)
107. (trachea, is, not deviated)
108. (hilar lymph nodes, are, not enlarged)
109. (pleural spaces, are, free of fluid)
110. (lung fields, are, free of nodules)
111. (bony thorax, shows, no fractures)
112. (spine, shows, degenerative changes)
113. (aorta, is, calcified)
114. (heart, is, not enlarged)
115. (lungs, are, well-expanded)
116. (diaphragm, is, in normal position)
117. (chest wall, shows, no abnormalities)
118. (mediastinal contours, are, well-defined)
119. (pulmonary vasculature, is, normal in distribution)
120. (lung markings, are, not increased)
121. (bronchial walls, are, not thickened)
122. (pleural surfaces, are, smooth)
123. (cardiophrenic angles, are, sharp)
124. (aortic knob, is, normal in size)
125. (pulmonary arteries, are, not prominent)
126. (lung volumes, are, not decreased)
127. (interstitial pattern, is, normal)
128. (alveolar spaces, are, clear)
129. (fissures, are, normal in appearance)
130. (hilar shadows, are, not prominent)
131. (tracheal air column, is, patent)
132. (bronchial tree, shows, no abnormalities)
133. (lung apices, are, free of bullae)
134. (lung bases, are, free of atelectasis)
135. (cardiac borders, are, well-defined)
136. (mediastinal structures, are, normal)
137. (pulmonary vessels, are, not tortuous)
138. (costophrenic sulci, are, deep)
139. (diaphragmatic contours, are, smooth)
140. (lung periphery, is, free of nodules)
141. (bony structures, show, no lytic lesions)
142. (soft tissues, show, no masses)
143. (cardiomediastinal silhouette, is, normal in size)
144. (pulmonary vasculature, is, normal in caliber)
145. (lung parenchyma, shows, no consolidation)
146. (pleural reflections, are, intact)
147. (lung apices, are, free of fibrosis)
148. (lung bases, are, free of effusions)
149. (cardiac silhouette, is, normal in contour)
150. (mediastinum, is, not shifted)
151. (pulmonary vessels, are, not prominent)
152. (costophrenic angles, are, free of blunting)
153. (trachea, is, of normal caliber)
154. (hilar regions, are, symmetrical)
155. (pleural spaces, are, free of thickening)
156. (lung fields, are, free of masses)
157. (bony thorax, shows, no destructive lesions)
158. (spine, shows, no compression fractures)
159. (aorta, is, not aneurysmal)
160. (heart, shows, normal cardiac borders)
161. (lungs, show, normal bronchovascular markings)
162. (diaphragm, shows, no eventration)
163. (chest wall, shows, no soft tissue masses)
164. (mediastinal contours, are, not obscured)
165. (pulmonary vasculature, is, not redistributed)
166. (lung markings, are, not crowded)
167. (bronchial walls, are, not prominent)
168. (pleural surfaces, show, no calcifications)
169. (cardiophrenic angles, are, free of masses)
170. (aortic knob, is, not prominent)
171. (pulmonary arteries, are, not dilated)
172. (lung volumes, are, not hyperinflated)
173. (interstitial pattern, shows, no reticulations)
174. (alveolar spaces, show, no opacities)
175. (fissures, are, not thickened)
176. (hilar shadows, are, not enlarged)
177. (tracheal air column, is, not narrowed)
178. (bronchial tree, shows, no dilatation)
179. (lung apices, show, no pleural thickening)
180. (lung bases, show, no discoid atelectasis)
181. (cardiac borders, are, not obscured)
182. (mediastinal structures, show, no masses)
183. (pulmonary vessels, are, not pruned)
